id;date;shift_start;shift_end;default_timings;user_id
1;2024-04-18;2024-04-18T17:11:14;2024-04-18T15:02:10;true;1
2;2024-04-17;2024-04-18T15:22:27;2024-04-18T03:53:15;true;2
3;2024-04-18;2024-04-18T17:07:16;2024-04-17T21:55:30;false;1
4;2024-04-18;2024-04-18T01:15:39;2024-04-17T23:20:08;false;2
5;2024-04-17;2024-04-18T07:19:34;2024-04-18T10:04:23;true;2
6;2024-04-18;2024-04-18T00:28:51;2024-04-18T02:00:39;false;2
7;2024-04-18;2024-04-18T16:15:36;2024-04-17T23:35:18;false;1
8;2024-04-18;2024-04-17T23:05:32;2024-04-18T03:02:29;true;1
9;2024-04-17;2024-04-18T12:21:13;2024-04-17T23:44:57;true;2
10;2024-04-17;2024-04-18T14:36:21;2024-04-17T19:24:28;true;1
